"|","|__startDate","|__endDate","|__rate","stockName"
"1","11/23/2015","9/19/2016","0.7458563535911602","1235 興泰"
"2","12/2/2015","9/19/2016","0.741046831955923",""
"3","11/26/2015","9/19/2016","0.741046831955923",""
"last1","9/19/2016","9/30/2016","-0.11867088607594936",""
"last2","3/22/2016","3/28/2016","-0.1168316831683168",""
"last3","3/22/2016","3/29/2016","-0.1168316831683168",""
"1","12/16/2015","12/30/2015","0.08499999999999996","1236 宏亞"
"2","12/15/2015","12/30/2015","0.08499999999999996",""
"3","12/16/2015","12/29/2015","0.08499999999999996",""
"last1","11/9/2015","11/3/2016","-0.15560640732265454",""
"last2","11/6/2015","11/3/2016","-0.15366972477064225",""
"last3","12/29/2015","11/3/2016","-0.14976958525345624",""
"1","7/28/2016","9/2/2016","0.6039603960396039","1256 鮮活果汁-KY"
"2","7/28/2016","9/21/2016","0.594059405940594",""
"3","8/1/2016","9/2/2016","0.5882352941176471",""
"last1","11/6/2015","7/28/2016","-0.33986928104575165",""
"last2","11/6/2015","7/25/2016","-0.3333333333333333",""
"last3","11/6/2015","7/29/2016","-0.3333333333333333",""
"1","1/7/2016","2/26/2016","0.2876712328767123","1258 其祥-KY"
"2","1/11/2016","2/26/2016","0.2806539509536784",""
"3","1/7/2016","3/7/2016","0.2753424657534246",""
"last1","2/26/2016","5/19/2016","-0.2414893617021277",""
"last2","2/26/2016","5/20/2016","-0.2414893617021277",""
"last3","2/26/2016","11/3/2016","-0.23617021276595748",""
"1","11/12/2015","9/22/2016","0.4421221864951768","1259 安心"
"2","11/12/2015","9/21/2016","0.4421221864951768",""
"3","11/12/2015","9/26/2016","0.43729903536977494",""
"last1","9/21/2016","11/3/2016","-0.15273132664437014",""
"last2","9/22/2016","11/3/2016","-0.15273132664437014",""
"last3","9/26/2016","11/3/2016","-0.14988814317673382",""
"1","1/22/2016","8/15/2016","0.9280442804428043","1260 富味鄉"
"2","1/19/2016","8/15/2016","0.9162591687041566",""
"3","1/18/2016","8/15/2016","0.9162591687041566",""
"last1","11/17/2015","1/22/2016","-0.18699999999999992",""
"last2","11/18/2015","1/22/2016","-0.18699999999999992",""
"last3","11/19/2015","1/22/2016","-0.18699999999999992",""
"1","1/11/2016","10/25/2016","0.7073170731707317","1262 綠悅-KY"
"2","1/11/2016","10/21/2016","0.7024390243902439",""
"3","1/12/2016","10/25/2016","0.6746411483253588",""
"last1","11/20/2015","1/11/2016","-0.22348484848484848",""
"last2","11/23/2015","1/11/2016","-0.22053231939163498",""
"last3","11/20/2015","1/12/2016","-0.20833333333333334",""
"1","12/15/2015","3/4/2016","0.20869565217391303","1264 德麥"
"2","1/14/2016","3/4/2016","0.20520231213872833",""
"3","12/14/2015","3/4/2016","0.20520231213872833",""
"last1","3/4/2016","6/24/2016","-0.1366906474820144",""
"last2","3/3/2016","6/24/2016","-0.12832929782082325",""
"last3","3/7/2016","6/24/2016","-0.12832929782082325",""
"1","12/23/2015","11/4/2016","null","1268 漢來美食"
"2","12/22/2015","11/4/2016","null",""
"3","12/21/2015","11/4/2016","null",""
"last1","12/24/2015","8/8/2016","-0.21890547263681592",""
"last2","12/24/2015","10/13/2016","-0.20398009950248755",""
"last3","12/24/2015","10/14/2016","-0.20398009950248755",""
"1","8/26/2016","11/4/2016","null","1269 乾杯"
"2","8/25/2016","11/4/2016","null",""
"3","8/24/2016","11/4/2016","null",""
"last1","8/29/2016","9/5/2016","-0.120220501993901",""
"last2","8/31/2016","9/5/2016","-0.11752941176470583",""
"last3","8/30/2016","9/5/2016","-0.10702380952380947",""
"1","12/15/2015","10/28/2016","0.2141843971631205","1301 台塑"
"2","12/15/2015","10/31/2016","0.21134751773049654",""
"3","12/15/2015","11/4/2016","0.2085106382978724",""
"last1","11/26/2015","12/15/2015","-0.0784313725490196",""
"last2","4/15/2016","6/24/2016","-0.0768292682926829",""
"last3","4/25/2016","6/24/2016","-0.07570207570207574",""
"1","1/21/2016","3/31/2016","0.23132969034608372","1303 南亞"
"2","1/21/2016","3/30/2016","0.23132969034608372",""
"3","1/21/2016","3/24/2016","0.2295081967213115",""
"last1","11/6/2015","1/21/2016","-0.14352574102964114",""
"last2","11/6/2015","1/22/2016","-0.13728549141965676",""
"last3","11/6/2015","1/26/2016","-0.13416536661466452",""
"1","1/15/2016","10/21/2016","0.36401673640167376","1304 台聚"
"2","1/14/2016","10/21/2016","0.36401673640167376",""
"3","1/15/2016","10/20/2016","0.3556485355648536",""
"last1","12/3/2015","1/14/2016","-0.14028776978417273",""
"last2","12/3/2015","1/15/2016","-0.14028776978417273",""
